gauge_id,n_models,rank_kendall_tau_nse_vs_beta,rank_kendall_p,best_nse_model,best_beta_model,best_nse_is_best_beta
34007,5,-0.19999999999999998,0.8166666666666667,rrmpg_hbvedu,rrmpg_hbvedu,True
34008,4,0.3333333333333334,0.75,rrmpg_hbvedu,rrmpg_gr4j,False
34010,5,0.19999999999999998,0.8166666666666667,global_lstm,rrmpg_hbvedu,False
34011,5,0.19999999999999998,0.8166666666666667,rrmpg_hbvedu,seasonal_climatology,False
34012,4,0.6666666666666669,0.3333333333333333,seasonal_ar1_null,seasonal_ar1_null,True
35003,4,0.3333333333333334,0.75,rrmpg_hbvedu,rrmpg_hbvedu,True
35008,4,0.0,1.0,rrmpg_hbvedu,global_lstm,False
36003,5,0.19999999999999998,0.8166666666666667,rrmpg_hbvedu,seasonal_climatology,False
36006,4,-0.3333333333333334,0.75,rrmpg_hbvedu,seasonal_ar1_null,False
36009,4,-0.3333333333333334,0.75,rrmpg_hbvedu,rrmpg_gr4j,False
36011,4,0.3333333333333334,0.75,rrmpg_hbvedu,global_lstm,False
36012,4,0.3333333333333334,0.75,rrmpg_hbvedu,global_lstm,False
37001,4,-0.3333333333333334,0.75,rrmpg_hbvedu,seasonal_ar1_null,False
37003,5,0.19999999999999998,0.8166666666666667,rrmpg_hbvedu,rrmpg_hbvedu,True
37005,5,-0.39999999999999997,0.48333333333333334,rrmpg_hbvedu,seasonal_ar1_null,False
37008,4,-0.3333333333333334,0.75,rrmpg_hbvedu,seasonal_ar1_null,False
37009,5,0.39999999999999997,0.48333333333333334,rrmpg_hbvedu,rrmpg_hbvedu,True
37011,5,0.6,0.23333333333333334,rrmpg_hbvedu,global_lstm,False
37018,4,0.3333333333333334,0.75,rrmpg_hbvedu,global_lstm,False
37019,5,0.39999999999999997,0.48333333333333334,rrmpg_hbvedu,global_lstm,False
37020,5,0.39999999999999997,0.48333333333333334,rrmpg_hbvedu,rrmpg_hbvedu,True
